initial_state_id,path,kernel_ref,kernel_version,artifact,artifact_row,variant,source_sha256
25,r3.r3.d1.-f3.f1.d1.d2.r0.d1.-f0.-f0.d3.-d0.f3.r0.-r0.-f0.d0.-r2.-d0.-r0.-d0.f3.-f1.-r1.f2,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,27,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
26,-d1.-f3.d2.f0.-d3.-d3.-r3.f0.f2.r2.-d2.-d2.-f3.f2.d1.f1.-d2.-r0.d2.-f2.-d0.-d0.d1.-f2.f1.d1.r1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,28,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
26,-f3.d2.f0.d3.d3.-r3.-f3.f2.r2.-d1.-f3.r1.d3.r2.f3.d0.-f1.-d0.f0.f1.-d0.-f1.d2.-d0.d1.-f2.f1.d1.-f1.-d3.-r2.d3.f1.f2.-d2.-f2.r3.d1.r1.-d1.-r3,zhipenzhang/cayleypy-beam-search-with-collect-mode,11,cayleypy_public/output/solutions/all_solutions.csv,4,original,39a070db4e2c220e310c8b707792ee6acf08e78aaf626aecccd02b4229b68280
27,-r1.-r2.f1.-r3.f3.r0.f2.-d0.f3.-d3.r0.d0.r2.d0.d0.f3.f1.-d0.d3.-d0.-d0.-r1.-r0.d3.-f2.d1.d3.f3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,29,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
27,-r1.f1.-r2.-r3.f3.r0.f2.-d0.f3.-d3.r0.d0.r2.d0.d0.f3.f1.d3.d0.-r0.-r1.d3.-r1.-d0.d2.-f1.-d2.f1.d0.r1.-f2.d3.d1.f3,zhipenzhang/cayleypy-beam-search-with-collect-mode,11,cayleypy_public/output/solutions/all_solutions.csv,5,original,39a070db4e2c220e310c8b707792ee6acf08e78aaf626aecccd02b4229b68280
28,r0.f2.-r0.-r3.-d1.-f1.f0.-d3.-r2.-d2.-r0.-r2.f2.d1.r2.-r2.-d2.f0.r3.d3.r1.r3.-d1.-r3.-r1.r2.-f1.f3.d1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,30,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
28,r1.r0.-f1.f2.r2.-d3.d2.-f3.-r2.-f2.-r2.-r0.-f2.-d1.f1.-d3.r3.f3.-f2.-d2.f2.d2.d2.-r0.f1.r2.-f1.-r2.-r2.-r1.-d0.-r1.-d1.r1.d0.-r3.r2.f3.-f1.d1.f1,zhipenzhang/cayleypy-beam-search-with-collect-mode,10,cayleypy_public/output/solutions/all_solutions.csv,2,original,17fc2cf177971fe42b26978133fe40832dc3bff1135d1b31a7b3d416d47fbc10
29,-d1.-r0.-d0.-r3.d1.f3.r1.r1.f0.-f0.d2.-d3.-d0.f2.-r0.d1.-d0.-d1.-r0.d1.-f1.-d3.-d0.r1.-f3.-r3.-f1.f0.-d0.-d2,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,31,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
29,d0.-d1.-r0.d0.-r0.f0.r0.f3.r2.-d3.f0.r0.-f3.d1.-r1.-d1.-d3.f0.r0.f1.f1.d2.-f0.-f3.d3.f0.-r3.-d1.r3.f3.d1.-d2.-r1.f2.d3.-r1.-d2.-d2.r1.d2.-d0.-d3.f1.-d1.-f1.d0,zhipenzhang/cayleypy-beam-search-with-collect-mode,10,cayleypy_public/output/solutions/all_solutions.csv,3,original,17fc2cf177971fe42b26978133fe40832dc3bff1135d1b31a7b3d416d47fbc10
30,-d3.r2.-r0.-r1.-f0.-r3.-d3.-f1.-f3.-f0.f0.f3.d2.r2.-f3.-f2.r2.d1.-d0.r1.d1.-r1.-f3.-d2.d3.f3.f3.r0.-f0.r1.-f2,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,32,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
30,-d3.r3.-r2.-r2.d3.-r3.-f3.d2.f2.r2.d0.d1.r2.-f0.f1.r1.f1.-r1.d0.f3.-f2.d0.d0.-r2.-r1.-r3.-f0.r1.-f2,zhipenzhang/cayleypy-beam-search-with-collect-mode,10,cayleypy_public/output/solutions/all_solutions.csv,4,original,17fc2cf177971fe42b26978133fe40832dc3bff1135d1b31a7b3d416d47fbc10
31,r1.-r2.f2.-f2.d2.-r0.f2.f3.r0.d1.r2.f0.d0.d3.-r3.-r0.f1.d0.-r0.-f1.d1.-f3.d2.-f2.r3.-r1.d0.f0.-d0.f2.d3.r3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,33,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
31,r1.r3.f3.f3.d2.f2.r0.-f3.d3.r3.-d3.-r2.r0.d0.-f3.d0.f3.-f0.-f1.r1.-f0.-r3.f1.r3.-f3.-f0.-d3.f3.d3.r2.-f3.d0.-r2.-f1.f2.r2.-f2.f1.d1.-d0.f2.r2.-d3.-r2.d3.-f2,zhipenzhang/cayleypy-beam-search-with-collect-mode,10,cayleypy_public/output/solutions/all_solutions.csv,5,original,17fc2cf177971fe42b26978133fe40832dc3bff1135d1b31a7b3d416d47fbc10
32,-r3.-f0.-r1.f0.r0.d2.f2.r1.r2.-f0.r3.-f1.f3.f1.r2.r0.-d1.f0.d3.-r1.f2.-f3.-f0.-r0.r0.d1.r0.-f0.r2.-r2.d1.-d3.r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,34,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
32,f3.r0.f2.d3.r0.-f3.f2.d3.-f2.-r1.f0.-r1.d3.r3.-d0.-r1.d0.-r3.f1.f3.-f0.d2.f2.-r0.-f1.-d1.f0.-r2.f3.-f0.-r2.-f3.d1.-r2.-r2.-d1.-f3.-d1.f3.-d1.-f3.d1.-r2.-d1.r2.f3.-f0,zhipenzhang/cayleypy-beam-search-with-collect-mode,9,cayleypy_public/output/solutions/all_solutions.csv,2,original,8a62a3c14fb849130654f4cb588df11fb4812ca8d726a0803a0c5ac6037c77f3
33,-f1.f0.f2.r1.-f1.r0.-d0.d3.-f3.f3.-r1.-r1.-d0.d1.f0.-f3.f1.d2.-f1.d2.d3.d0.-f2.-d2.-f3.-d1.r1.f3.f0.-f2.-r1.-r0.f1.-d0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,35,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
33,-f3.-d2.f1.-d3.-r3.-r2.r0.d1.d1.r3.d3.-d0.r2.-d1.d2.d2.-d1.-f3.f2.-r1.r2.-f1.-r1.d1.-r0.f2.-d1.f1.-f2.r1.-d0.f2.d1.-f2,zhipenzhang/cayleypy-beam-search-with-collect-mode,9,cayleypy_public/output/solutions/all_solutions.csv,3,original,8a62a3c14fb849130654f4cb588df11fb4812ca8d726a0803a0c5ac6037c77f3
34,f3.-d2.-f0.-f1.-d2.-f1.-r3.-f1.-d1.-f3.-d3.d2.f1.-d2.-d2.f1.-d2.-f0.-d2.f1.f1.r2.-r1.-f1.-r3.f1.d1.d3.f1.-d3.-f1.d3.-f3,zhipenzhang/cayleypy-beam-search-with-collect-mode,9,cayleypy_public/output/solutions/all_solutions.csv,4,original,8a62a3c14fb849130654f4cb588df11fb4812ca8d726a0803a0c5ac6037c77f3
34,f3.-d2.f3.f0.d1.f2.f3.-f0.-f3.f2.-f1.-f2.r1.-d3.-f1.-r2.r2.f3.-f3.r2.-f3.-r3.-d1.-r2.r1.-d0.-r3.r3.r1.-f3.-f1.-f1.-d2.-d0.-f3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,36,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
35,-d2.f2.d3.-d0.-r1.-d2.-f0.-f3.d3.d2.-f1.-r3.d0.d0.f0.-d3.-d0.-r2.r3.r0.f0.r1.-f0.-r1.r2.-r3.d3.-f3.-r2.f3.r2.-d3.-d3.r1.d3.f1.d0.f2.-d3.-d0.-r2.d3.-f2.-f1,zhipenzhang/cayleypy-beam-search-with-collect-mode,9,cayleypy_public/output/solutions/all_solutions.csv,5,original,8a62a3c14fb849130654f4cb588df11fb4812ca8d726a0803a0c5ac6037c77f3
35,-f1.f3.-d2.-f0.-f3.r2.-d2.-f3.-r0.f1.-d1.r3.-d0.d2.f1.f0.r2.r0.r0.d3.-f0.-r2.-f0.-d1.r2.r1.r3.-d1.f1.r0.-d0.r2.-r2.f2.d3.-r0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,37,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
36,-d3.-r3.-d1.-f0.-f1.-d3.f1.-d0.f1.-r0.f1.-d3.d3.f1.d1.r3.-r2.f2.-d0.d3.-r1.-f0.-f0.-f2.-d2.f0.-r2.f0.-f0.f1.r0.-r0.-r0.-f0.d0.r3.-d3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,38,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
36,-r3.f0.-d1.-d1.f0.r0.-f2.d1.r0.-f3.-d3.-f0.r2.f1.-r2.f3.d2.-f0.r2.d2.-d1.-d0.f3.d1.f0.-d1.-r3.-f2.d2.-f2.d1.-r2.-d1.-d2.r3.f2.-r3.d2.f2.r0.f2.-r0.-f2.-d2.r3,vihaangulzar/piece-transformer-cube4-public-baseline,6,cayleypy_public/output/solutions/all_solutions.csv,2,original,02214c58329cd79ca34aed4ce9fa6ebb87c372d69d93cdc385766206f3d8cf6c
37,-d1.r1.f1.r0.-f3.-d3.d2.r0.-f3.-r1.-d2.-f0.-d1.-r2.r0.d1.-f2.d3.f2.-r0.-f3.r0.d1.r1.d0.r2.-d0.-r2.-f1.-f2.-f2.-r1.-r1.f1.-r3.-r1.-r1.d1.-r0.f2.-r1.-f2.r1.-r2.d1.d1.r2.d1,vihaangulzar/piece-transformer-cube4-public-baseline,6,cayleypy_public/output/solutions/all_solutions.csv,3,original,02214c58329cd79ca34aed4ce9fa6ebb87c372d69d93cdc385766206f3d8cf6c
37,-r3.-f0.d2.-d1.f1.-r1.f1.-r2.-r3.f1.-r3.d0.-r2.-f3.d1.d2.r1.d0.f0.-f1.-f2.f3.-r2.r1.-d3.r1.d2.-d3.-d2.-f1.-r3.r2.-d1.-r0.f3.-d2.d1.d3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,39,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
38,-f1.-f2.r0.-d0.-f2.r2.f3.r3.r2.d0.-r1.-f3.-f3.r1.d3.r3.-d0.-f3.-d3.-f3.-r0.-f0.f3.-d0.f0.-d1.d3.-r1.d2.-f2.d2.d1.-f0.d1.r2.-d1.f0.-r2.f2.f2.d0.f2.-d2.-f2.-r2.-d0.r2.f2.r1,vihaangulzar/piece-transformer-cube4-public-baseline,6,cayleypy_public/output/solutions/all_solutions.csv,4,original,02214c58329cd79ca34aed4ce9fa6ebb87c372d69d93cdc385766206f3d8cf6c
38,f1.f3.f2.-d1.f2.r1.r0.-f2.-r1.-r2.-r0.-r0.-f0.-f0.r3.d3.-r2.-r2.d0.f3.d3.d2.-d0.-r1.-f1.f0.d0.r2.-r0.-f3.-r3.-r3.-f0.d3.r3.-f1.d2.-r3.d3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,40,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
39,-r1.-d2.f3.-d1.-d0.f0.r3.-d1.-d1.-d2.-r0.r3.r1.d3.d2.-r0.d0.r0.r0.d1.r2.r1.-r3.-d3.r3.r0.-d1.d0.r3.-f3,vihaangulzar/piece-transformer-cube4-public-baseline,6,cayleypy_public/output/solutions/all_solutions.csv,5,original,02214c58329cd79ca34aed4ce9fa6ebb87c372d69d93cdc385766206f3d8cf6c
39,d3.-d3.-r1.-d1.d1.-d2.f3.-d1.r1.-r1.-d0.f0.r3.d1.d1.-d2.r1.-r0.r3.d3.d2.-r0.d0.-r2.r2.r0.r0.d1.-r2.r2.r2.-r3.r1.-d3.r3.r0.-d1.d0.r3.-f3,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,41,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
40,-r0.f1.-d3.-f2.f3.-d3.-f2.-r1.-f1.r1.f2.-f3.-f0.f0.r2.-d0.d0.-d2.r2.-f1.r2.f2.r0.-d2.r0.r3.-r1.f2.r0.r1.-r2.-r2.r0.f1.-r1.r2.-d0.r0.r1.r1.r1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,42,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
40,-r0.f1.-d3.f3.r2.-f2.-r2.-d3.-f3.f1.-r1.-d2.f2.-r2.f1.r3.d1.-r2.-d3.r2.-d1.-r2.-d0.-r2.d3.r3.-d2.-r1.d2.-r3.r0,vihaangulzar/piece-transformer-cube4-public-baseline,5,cayleypy_public/output/solutions/all_solutions.csv,2,original,66d5e1fbb356cc448c00dd96b83746389f0a9549b0fff459df4db699406acbe6
41,-d3.r3.d1.-r2.d1.-f1.d3.r1.r0.f3.-r0.-f0.r0.r2.d3.-r2.d3.-f2.r1.r0.-d3.d2.-d0.r3.-f3.r0.-r1.-f2.r1.f2.f2.r1.-f2.-d0.f0.r1.-f0.-d3.-f1.d3.d2.r1.-d2.-r1.d0.-f2,vihaangulzar/piece-transformer-cube4-public-baseline,5,cayleypy_public/output/solutions/all_solutions.csv,3,original,66d5e1fbb356cc448c00dd96b83746389f0a9549b0fff459df4db699406acbe6
41,r2.d1.r2.-d3.f0.d3.d0.d2.-f3.d3.d0.-d2.d0.f3.r2.-d2.d3.r2.-f2.-f1.d0.-f2.-f2.-r1.-d2.-f3.f3.-r3.-f0.-d0.r3.-f2.f1.-d3.f3.-r1.r0.-r1.-r3.-d0.d1.-r1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,43,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
42,-r0.f3.r1.-f1.d3.r3.-d0.f1.f0.r1.f0.f1.-d2.-d1.-r1.d3.d2.r1.-f0.r1.-f3.-f0.-d3.f0.-f2.-r2.f0.d2.f2.r2.r1.-f1.-r2.d1.f1.-d2.r3.d2.d3.r2.f0.f2.r1.-f2.-f0.-r2.-d3,vihaangulzar/piece-transformer-cube4-public-baseline,5,cayleypy_public/output/solutions/all_solutions.csv,4,original,66d5e1fbb356cc448c00dd96b83746389f0a9549b0fff459df4db699406acbe6
42,d1.f3.r1.r2.d2.-d2.r0.r3.f3.d1.r3.-r1.f3.-r0.f1.-d2.-r0.f3.r0.f2.-f1.-f1.d0.-f2.-d1.f0.-r2.f0.-d2.r0.-f3.r1.-d1.d2.-d2.f3.-d1.r0.-d3.-r3.-f1.-d2.-f1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,44,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
43,d1.f2.f2.-f3.f3.d2.-d2.f1.f0.f3.f3.r0.-r0.f0.d1.-f2.f1.-r2.-r1.d2.d3.f2.f0.-d0.-f3.f0.-r0.-r1.d1.f1.r1.f0.-f2.-d3.-f2.-d1.d1.-d0.-r3.r0.-f3.f3.d1.d0,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,45,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
43,d1.r1.-f2.r2.-d1.-d0.-f1.-d2.-f3.r3.-f3.f0.-d0.f2.-r2.-f3.-d3.d1.-d0.-r1.-d3.-d1.r1.d3.r0.-r3.f1.d1.-f1.d0.-f2.d1.r1.f2.-d1.-r1,vihaangulzar/piece-transformer-cube4-public-baseline,5,cayleypy_public/output/solutions/all_solutions.csv,5,original,66d5e1fbb356cc448c00dd96b83746389f0a9549b0fff459df4db699406acbe6
44,d3.f3.f2.f3.d3.r2.d2.-f3.f2.-r0.-f2.r0.f2.r0.f1.-r3.r0.-d0.r3.f0.d3.r3.-f3.-r2.f3.-r3.d0.r2.-d0.r3.-f3.f0.-d2.r2.d2.-f1.-r2.f3.r2.f2.d1.f1.-d1.-r2.-f2.r2.-f0,ravshankutkovin/esmlp-layernorm-2xt4-starter,6,cayleypy_public/output/solutions/all_solutions.csv,2,original,02ade40b703b52adcf8b9132c2758e1ea8c1a55d65248c8f6f887da6fbeecbdb
44,f0.-r0.f0.-r0.r1.d1.-r0.-r3.-f0.-d1.f2.-r3.-d0.d1.d1.-d0.-r1.r1.r1.-f2.-f3.d0.d2.-r0.-r0.-r2.-d0.-r2.-d2.d1.d2.-f1.r1.-r2.r2.f3.-d1.r1.r1.-f0.d2.-d2.d1.-f2.r1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,46,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
45,f0.-d3.-d0.f1.-r1.-d2.d3.f0.d1.-f3.f3.d1.-d2.f2.-f3.d0.d0.r0.d1.r2.-f1.-d2.-d2.-d3.f0.d2.-d3.-r0.r2.r2.r0.-r0.d2.d2.-f1.-f1.-r1.f0.r3.-f0.-r0.-d2.-d1.r2.f1.-d1,trydotatwo/cayleypy-2xt4-444-example,8,cayleypy_public/output/submission.csv,47,,9d28ba08e3eb930afc2b8386ddbe14fe40456d29df11bd9fc879a554b333d1e8
