step,label,initial_state_id,score_before,score_after,old_length,new_length,gain,source,source_row,final_path_sha256,final_path
1,public_and_local_merge,634,46378,46332,47,45,2,work/public_outputs/dingshijiana__minimal-cayleypy-notebook-for-cube4/cayleypy_public/output/solutions/all_solutions.csv,2,e3986058f2a90ca0bbe12cbebde56e88db4e8ad00625b3a06c7efe596b96e030,-f2.-d1.r0.-f3.r3.f3.r0.-d0.-r1.f0.-d3.d0.r1.f3.d0.r2.f3.-r2.-d0.-r1.-f0.-r3.f1.d1.f1.r3.-d0.-f1.d0.-f1.f2.-d2.r2.-d2.r3.-d0.r2.d2.f2.d2.-f2.-r2.d0.-r3.-r2
1,public_and_local_merge,635,46378,46332,46,44,2,work/service_investigation/official_cube4_results.csv,247,1d7c9d70e6929cdb49e82f25628a840e4d55b4654c2676ae0b041e3548ae8d90,d1.f0.-r1.-f0.-d0.f2.r0.f2.-r3.-f1.-d0.f2.-d3.r3.d2.r3.-f2.d0.f2.-r3.d1.d0.r3.-d3.-r3.d0.r1.-d0.r3.r1.f3.-r3.d0.-f3.d1.-d3.f2.-d1.f3.d1.-f2.-d1.-d0.f0
1,public_and_local_merge,643,46378,46332,46,44,2,work/service_investigation/official_cube4_results.csv,260,1a4e8af8032c60d9a5a4fc8956617c45e1bdeb50f3b56b6a76ce60ded78cbe64,f0.r3.r3.-d1.-d0.f2.-r0.-f3.r1.r1.d0.-f0.-r3.-d1.d2.r2.-d3.f1.d0.d3.-f3.d1.r0.d3.-r2.f3.r1.-d2.-r1.-d1.-d3.-r2.-d0.-r3.d1.f1.r1.f1.-d1.f1.f1.d2.-r1.-f1
1,public_and_local_merge,673,46378,46332,48,46,2,work/service_investigation/official_cube4_results.csv,314,5c285c5399bace704e568d67f780901165c464211caf07e1d46debf89546808c,-f3.-f3.-f1.r1.d0.r0.-f1.d3.f3.-f2.d0.-f0.-r1.-d2.-r0.f3.d2.-f3.r3.d0.f2.-r3.f0.-r0.-r1.-r2.-d1.-f1.d2.r2.-d2.f1.r3.-f1.-f0.d2.f0.-d2.-r3.r1.f2.r2.-f2.-r2.-d2.r3
1,public_and_local_merge,675,46378,46332,48,46,2,work/service_investigation/official_cube4_results.csv,316,62afb72858e1f322fc446dd1ccfa1aaa353843f1a4c1620b2d837405a146cd64,-r0.-d1.r3.f1.d0.-d3.-d3.-f2.f3.-f1.d0.-r0.d3.d2.-f2.f1.-d1.r2.f3.-r0.-r2.d0.d2.-f3.r2.-f1.r2.f1.r0.f2.-d3.f2.-r0.-d2.r0.d3.-f0.-d1.-r2.-d3.-r2.d1.r2.-f2.d3.r2
1,public_and_local_merge,794,46378,46332,47,45,2,work/service_investigation/official_cube4_results.csv,344,633962d79a6f3a9d3eee43422678f7e3f8af4fa4716819fb3c5d36fb2e50ea56,-f0.r0.-d3.f0.d3.-d1.d3.-f2.-r1.r3.-d0.-r1.-r3.f1.-d0.-r1.f0.-d2.f0.r2.-f0.-d0.r2.r3.d0.d1.-f1.d3.-r2.-d3.f1.d2.f0.d3.r2.-f1.-r2.r1.-d2.-r1.-d3.r2.r1.d2.-f1
1,public_and_local_merge,797,46378,46332,50,44,6,work/service_investigation/official_cube4_results.csv,346,cce1aa3a5981fc85ff8b2759b665b94eddee946a656240ff426c9b6f83125315,d3.-f2.r2.f1.d0.f0.d0.-d2.f3.-d1.r0.r2.f3.f0.-r1.-f2.-r3.-f2.-r3.f2.d1.r3.-d1.r1.r0.f1.-r0.d0.-f2.d1.r0.f1.-r0.d1.-r3.r0.-d1.r1.d1.r3.d1.-r1.-d1.-d0
1,public_and_local_merge,799,46378,46332,48,46,2,work/service_investigation/official_cube4_results.csv,350,ad6b2777a996db040362818669658ca7e310ae942dccbaaa86f4ad9badb89601,d3.r1.f0.-d0.-r3.-d2.-f2.-r0.f1.d0.-f0.d0.-d2.-r1.f2.r3.-f2.-f2.d3.-r2.f2.r3.-d3.-r2.-d3.r1.f1.-r1.-f1.-r2.-d3.f1.-r3.-d1.-d2.-r2.f2.d3.-r2.-f2.r2.r1.d2.-r1.-d3.r2
1,public_and_local_merge,815,46378,46332,46,44,2,work/service_investigation/official_cube4_results.csv,372,9bda9199714645e7df17b10590ad901f9e9bfd4078ab09cdd58845868bb0603b,f2.r0.-f2.d2.-f3.-d2.-r3.-d0.-f3.d1.-r3.d3.-f3.-d3.-d3.r2.r2.d0.-r2.-d0.-f2.d0.d2.f2.d1.f0.-r0.-d0.-f2.r1.r3.r0.f2.d2.-f3.r2.-f1.-f2.-d1.-d1.r2.-d1.r2.f3
1,public_and_local_merge,816,46378,46332,47,45,2,work/submissions/best_46452_twshort_d9.csv,818,2a32c83b16bff72632531c0293f02e651d28d4646489ab6b541255afb7c737e9,-r2.-f0.r3.-d0.-r0.-d1.r1.-d1.d0.r1.f0.-r1.-f1.r1.d2.-r0.r3.-d0.r0.d0.-r3.d2.-r2.f1.r2.d3.d1.-f2.-f3.d1.r3.-d1.-r3.f2.f3.d3.f1.-r1.-f1.-f3.d2.-f1.-d2.-f0.-d3
1,public_and_local_merge,818,46378,46332,47,45,2,work/service_investigation/official_cube4_results.csv,375,83e0bd6f51a6e43d72ffcb5e25a06b7205f6e65ba43d8adef1c8580d69bd62df,d3.f0.-r3.-r0.f0.-d0.-r1.f0.-r0.d2.f1.f1.d3.r1.f3.d2.d0.-r0.-d0.r1.d0.d1.-r1.f2.-f1.d1.-f2.-r2.f1.-f3.f1.r1.f3.r1.-f1.-d1.-f1.-r1.-d0.f3.r1.f1.r1.d1.-r1
2,cross_workspace_merge,495,46332,46330,42,40,2,./external/cayley6/outputs/submission_46330_valid.csv,497,99e9fcc9d42086f9b7489d5ce2ebc0868becf1a9716703076b2b61faaad4ab2e,-f0.r1.d1.f0.-f3.-r1.r2.r2.r3.-d2.-r0.d3.d3.r1.r1.-d3.r0.d3.r0.-d0.r2.r2.f1.d0.f0.r1.-f0.f1.-d0.-r2.r3.-d1.-f1.r2.d1.r1.-f1.d2.f1.-r1
3,twsearch_d8_high48,505,46330,46328,48,46,2,work/candidates_tw_d8_high48.csv,431,fd26c253d08ff4892913d3b4d91da0605ba0a87e242ffa367e18987e70ac9228,d0.-f0.r0.f3.f3.-r0.r3.-d3.-r1.-d2.-d2.r0.-d0.-r3.-d2.f1.r1.f3.r2.f0.-d2.-r2.-d1.r0.d0.-r0.-d0.-r0.f2.-r3.-f3.-f2.r3.r0.-f3.d0.-f2.f0.-r2.-d1.r2.-f0.-f1.d1.r1.-d1
4,kernel_history_and_induced,550,46328,46322,47,45,2,work/submissions/merged_cross_workspace_history_partial_induced.csv,552,e26f2cb1eecdd9c86c8cd386f00b5ad0a90c7659ede1d873cbd0077442449b66,f2.-r2.r1.f0.d0.-r3.-f3.r2.d0.-f2.f0.r1.-d1.r3.-r2.f2.-r1.-d1.-r3.-d0.-f2.d3.d1.f2.-d3.-r1.-r3.-d1.f2.-f3.r1.f3.-r1.-d1.r1.-d0.-r1.-r1.d1.r1.r0.-f1.-r3.-r0.d1
4,kernel_history_and_induced,586,46328,46322,47,45,2,work/submissions/merged_cross_workspace_history_partial_induced.csv,588,facd93256d8f6e01c8cafd057403efbfba48483c53b08cb6ed6a8beaa215616d,-f0.r0.r0.d0.f1.-d2.r3.d3.-r0.-f3.f1.-d1.f3.-f0.d1.d0.d0.-f2.r0.f0.-d2.r1.f2.d1.-f0.r2.-d1.-r2.-d1.-f0.-f2.-r1.d1.r2.d0.d2.f2.d3.f0.f1.-d3.-f2.r0.f2.-r0
4,kernel_history_and_induced,704,46328,46322,47,45,2,work/submissions/merged_cross_workspace_history_partial_induced.csv,706,738ad0b2b581d027879c5682e3edb5234256486d5c7bf17d8b7ba8bb05db4a21,f0.f0.r3.d2.-f2.f0.d1.-r0.d1.-r0.f0.d3.r0.d2.r2.f1.r3.-f2.r2.-r0.f2.f3.r1.-f3.-f2.-d3.d2.-f0.d2.-f3.-r2.d0.r2.d3.r0.f2.-f1.d2.f1.-f2.-r2.d3.-f1.-d3.-r0
5,twsearch_d8_history,559,46322,46318,48,46,2,work/candidates_tw_d8_history_partial.csv,521,7194ad3a4f184a689455257770537aadd2d853ed330f613e109d0383441f440c,-d2.r2.f0.-r0.f2.d3.f0.r2.-d0.f1.-d0.-r2.r3.-f3.r2.-f1.f2.f0.-d2.-d1.d3.r2.-d0.-r1.d0.-f2.-r1.r0.d1.-r2.r3.f1.r2.d0.f1.-r1.-d1.-f1.r1.-d0.r1.r1.d1.r1.-f3.-d2
5,twsearch_d8_history,796,46322,46318,47,45,2,work/candidates_tw_d8_history_partial.csv,790,4813ba94a34d50a5c57385a2d5b57d30e03e35585a9015f9e39bc0d4d985f244,d1.-f0.-f0.r2.-d2.-r0.-d0.d3.f0.-r0.d2.-d3.r2.f0.f3.d1.r0.d3.d0.r1.d1.-f0.-r1.-f1.r1.-d3.-d0.r1.-f1.-r1.d0.-d2.-r0.d1.r0.-d2.-r0.d3.r1.-d1.-r1.f3.r0.d0.f2
6,colored_mitm_r8_id575,575,46318,46316,48,46,2,work/harvest/slot1_colored8/batch_000.csv,577,961a54d35a8fcc9d6a3c315e9c4f7eef84765988d4efb4e76ce5614dcae086de,f0.-f1.-r3.d2.r2.f3.-r3.f1.-d0.r0.r0.f1.d3.-f1.r0.f1.d1.f3.d2.r0.d0.f1.-d3.-f3.-d1.-f0.r1.f0.d1.-f1.-f2.f3.-r1.f1.-d3.r1.d1.-f3.-d1.-f3.r1.f3.-r1.f3.d3.f2
7,twsearch_d10_id850,850,46316,46314,47,45,2,work/candidates_tw_d10_history_full.csv,1036,13f33ad94f24217938adb95fcbdc3d815a5dd68175994eb4cc8f54891c4c0b28,d0.f3.d1.r2.-d2.r0.-f1.-d2.f3.r3.d2.-f0.d1.r3.-d0.-f1.-d1.r3.-d1.r3.-f1.-d2.-f1.f0.f0.r1.d0.-d2.r1.-d1.r0.d3.r1.d0.-f2.-f2.-d3.-d0.r1.-r0.-d2.-d0.f1.-d2.-f1
8,colored_mitm_r8_id686,686,46314,46312,47,45,2,work/broad_slot0_even_r8/batch_0016.csv,688,19248de9594ffbe261625d8f813856484206e5f2107940836ec857aee4881112,r2.d2.-r0.f0.d0.f2.r3.d0.d2.-d3.-f0.-f2.-r2.-d1.r2.d1.-r2.f0.-r1.f3.-d0.r2.f2.-r2.r3.d0.r0.-r3.-d3.-f0.-f3.d3.r0.f0.f0.f3.-r3.-f3.-r0.-r3.-d0.r3.r3.d0.-d3
9,sibling_portfolio_merge,213,46312,46302,46,44,2,./external/cayley6/outputs/submission_46304_valid.csv,215,a93f9e74393dc9409c3b5cfc346cccceac0c8581894adbcfd3bbfc3e1c8350c0,d0.-r0.d0.f0.f3.-d0.-r3.d0.d1.-d3.r0.d2.-f2.-r3.-d0.-r0.-f1.d2.r0.-d1.d2.r0.f0.-f3.d3.-r2.-f0.d3.r2.-d3.f0.-d3.f0.d2.-f1.d3.-f0.-d3.-f2.d3.f0.-d3.f2.r1
9,sibling_portfolio_merge,497,46312,46302,46,44,2,./external/cayley6/outputs/submission_46304_valid.csv,499,7494783603444b5b6372af2700de368f3a2309e0f6d8fb095d3958515ddaaeaf,f0.f0.-r0.r2.r3.-f0.-d1.f2.-d1.f2.-d3.-r2.d0.d3.f1.-d2.f0.r3.r3.f0.-d1.-r1.-r2.-f1.d3.-r3.-d2.-d3.-r0.-f1.-d2.f1.r0.d2.r1.r1.d1.d2.f2.-d1.-d2.r0.-f2.r3
9,sibling_portfolio_merge,549,46312,46302,46,44,2,./external/cayley6/outputs/submission_46304_valid.csv,551,8c3b17bb02c4c1c72237e6c828fd9359133c608c32b31014135ac8eafd3a4cdc,f0.-f1.r3.r3.-d2.-r2.-f0.r0.d3.-f3.-d1.-r0.-f3.-r0.d0.-d2.r3.-d2.d3.-r1.-d1.-r1.-d3.-f0.-d0.f0.-r2.-f0.d0.-r2.d1.r2.d2.r0.-r1.d3.-f1.d0.r2.-d1.-d2.-f2.d0.d3
9,sibling_portfolio_merge,630,46312,46302,47,45,2,./external/cayley6/outputs/submission_46304_valid.csv,632,fa2dcef6f549541c95f9a270a989c82fc999918c70586ec4a51d9688b0619eb0,-d3.r0.r2.d0.f2.r3.-d2.-f2.-f3.d0.-r0.-r2.f1.f0.r0.f2.-f1.f0.r2.-f0.-r1.-f0.r1.-d0.-r1.d3.r1.-d3.-f0.-r1.f1.-d0.-d3.f1.-d0.-d1.d2.f1.-d2.r2.-f1.d0.f1.r2.f1
9,sibling_portfolio_merge,659,46312,46302,46,44,2,./external/cayley6/outputs/submission_46304_valid.csv,661,b370c277ace74d6d27fbb5ee6831172f9c596687f280203a5b3313d25dd70b79,-d2.-f0.r0.d3.f0.d0.f1.r1.-f3.d0.-d2.r0.d3.r3.-r0.-f2.r0.d2.-r2.-r1.f2.d0.d3.-f2.d1.-f0.d3.-r1.f3.f3.-r2.-f1.-r2.f1.r2.r2.-f3.d1.r1.d1.-r1.d0.-d1.-f2
10,final_user_portfolio_merge,97,46302,46296,46,44,2,./inputs/cube444_merged_46372.csv,99,52b0f1c5165ea6c6f6dd0ea137ebc6389508aa219833a4e96541b53066c66977,-f0.-d3.f1.f1.f2.-d1.-r0.d0.-f3.r0.f1.-d0.r2.f3.f3.-d2.-r3.d2.f3.-r2.-r0.-f0.d3.r0.-d3.r0.-f2.f0.-r2.f2.-f3.f1.r2.f1.-r2.-f3.-f0.-r1.d0.r1.-d0.f3.r1.r1
10,final_user_portfolio_merge,133,46302,46296,40,38,2,./inputs/cube444_merged_46372.csv,135,508753596072ec4ad48f1d368d7160106c5f8f861d9e4a8bbed85dfded97f0d1,d1.f2.r1.d0.-f0.r3.d0.r2.f2.r2.-f0.d2.-r3.-f2.-r0.f2.r3.-f1.f2.-d0.d3.r1.-f2.d0.d3.-f3.-d3.r2.-d2.d3.r2.d0.-d2.f1.d2.-f1.-d0.f2
10,final_user_portfolio_merge,346,46302,46296,47,45,2,./inputs/cube444_merged_46372.csv,348,df50da5c9656e8d2c5097d0297bc2b5cb3532511408aac2489b0e2e02e68471f,-r3.d0.f1.-d3.-f1.r2.f0.-r3.d1.r2.r2.r0.f1.-r2.-f0.r3.r3.d0.-d3.-f1.-d1.f2.d3.f3.f3.-d2.f3.r2.-d3.f0.-d2.-r1.-d1.d2.r1.d2.d1.-f2.d0.-f2.r0.-f2.-r0.f2.-d0
